编号,截图反馈（非必填）,提交时间,问题描述,提交人
27,"[{""file_token"": ""OvEnbDnaQoJngoxUQg7c3UT6nSf"", ""name"": ""企业微信截图_20240716121616.png"", ""size"": 132259}]",2024-07-16 12:16:39,第一课的的第四阶段 复杂工作流那个，没有调用知识库回答，不知道怎么回事？还有一点不懂的外围那俩个变量名是对应那俩个数据库的吗？这个是需要先在外围设定好？是需要先建好变量名吗？,"[{""id"": ""ou_659ef03180e52c344002a012c83fef9c"", ""name"": ""飞书用户5482TO""}]"
28,,2024-08-03 23:32:36,希望能讲解一下COW里如何接入语音识别和发微信语音的功能，包括如何把返回的mp3格式语音变成微信的语音输出。看配置文件应该是支持的。,"[{""id"": ""ou_30aee0db17cb61d7e13cbf8ea00dd433"", ""name"": ""列克""}]"
29,,2024-08-03 23:33:53,请问coze工作流有多个消息节点，但是COW里只能接收第一个该怎么办？问COW微信群的官方机器人，机器人说是支持的，但实践中只收到第一个消息。,"[{""id"": ""ou_30aee0db17cb61d7e13cbf8ea00dd433"", ""name"": ""列克""}]"
30,,2024-08-03 23:35:13,工作流里能否实现跟用户对话，获取必要的变量值？如果不能的话，直接调用工作流的那个单agent模式感觉没法用了。,"[{""id"": ""ou_30aee0db17cb61d7e13cbf8ea00dd433"", ""name"": ""列克""}]"
31,,2024-08-03 23:40:29,COW接入coze后，COZE的触发器能否定时给微信用户发消息？,"[{""id"": ""ou_30aee0db17cb61d7e13cbf8ea00dd433"", ""name"": ""列克""}]"
32,"[{""file_token"": ""IzeWbs0PWoH3ZAxoFkVcq2EGnRc"", ""name"": ""ba0bb22be4e6bc49e619e0a5b591543.png"", ""size"": 34551}]",2024-08-05 23:33:36,请问，我想要的内容在【1】就已经生成了，但经过【2】之后就面目全非，请问有什么办法避免这样的情况发生吗？,"[{""id"": ""ou_1c0fb842d2805f8bc3ac9d074c16d4d9"", ""name"": ""郑皓源""}]"
33,,2024-08-18 17:12:34,课程中提到知识库必须是以问答形式呈现。如果我的文档不是问答形式怎么办，是否需要处理成问答形式？,"[{""id"": ""ou_d4f73d05ce8ceb91eba3de3322a0e92e"", ""name"": ""宗瑞兴""}]"
34,"[{""file_token"": ""MmmFb7fv4oGuzmx4dLPcGntQnkc"", ""name"": ""image.png"", ""size"": 123120}, {""file_token"": ""P3QqbRGwXo5wVpxm1dDczBgDnud"", ""name"": ""image.png"", ""size"": 38528}, {""file_token"": ""IsXubGIhxoNyj1x9NEkcuwZXngb"", ""name"": ""image.png"", ""size"": 98539}]",2024-08-28 16:59:17,"卡片里面，文本选择了点击事件为URL,实际中URL也会更换变量变化，但是点击链接不会跳转至链接页面","[{""id"": ""ou_d96d9bcc455477f2ca4972b99477b7a9"", ""name"": ""郭力""}]"
35,"[{""file_token"": ""XPObbAH8coEkVPxuZILcEmUrnAd"", ""name"": ""微信图片_20240831161821.png"", ""size"": 196644}, {""file_token"": ""VPZJbvc6koVySQxRbbCc2cFynnc"", ""name"": ""微信图片_20240831161906.png"", ""size"": 452226}]",2024-08-31 16:20:34,我想实现将2个二维码放置在一个底图的固定空白处，通过图像流实现这个过程，我设置图像参考，图像生成两个工具实现此功能，但无法实现我想要的结果,"[{""id"": ""ou_de80d6d183e6cb3288dfcbd58cb1c626"", ""name"": ""一口口酱""}]"
36,,2024-12-13 17:58:10,请问，在coze平台中搭建工作流的时候，并联多个搜索插件，其中某一个出现空值后导致报错，怎么解决？,"[{""id"": ""ou_590b34afaba34549c72b11de86e49228"", ""name"": ""树人与鲁迅""}]"
37,,2024-12-19 10:38:37,秘塔搜索设计中，如何去筛选检索结果，再让大模型去总结。这个是不是DrKnow那个思路，需要做相关性，把相关性高的，筛选出来，之后再进行总结,"[{""id"": ""ou_d1c5e8da13bb1d0ae07d82bc7b6471c7"", ""name"": ""访客 58016""}]"
